time,energy,event_type,wattmin,epower
6420,6.4966e+07,s,90900,10180
6427.67,6.50446e+07,e,90900,10260
6428.33,6.50514e+07,e,90900,10180
6600,6.67853e+07,s,90900,10100
6625.67,6.70465e+07,e,90900,10180
6660,6.73933e+07,s,90900,10100
6660,6.73933e+07,s,90900,10180
6660,6.73933e+07,s,90900,10260
6660,6.73933e+07,s,90900,10340
6661,6.74037e+07,e,90900,10420
6661,6.74037e+07,e,90900,10340
6661.33,6.74071e+07,e,90900,10260
6662.33,6.74173e+07,e,90900,10180
6720,6.79998e+07,s,90900,10100
6840,6.92214e+07,s,90900,10180
6927.33,7.01174e+07,e,90900,10260
6960,7.04499e+07,s,90900,10180
6960,7.04499e+07,s,90900,10260
6960,7.04499e+07,s,90900,10340
6961.33,7.04638e+07,e,90900,10420
6961.67,7.04673e+07,e,90900,10340
6965.67,7.05083e+07,e,90900,10260
7020,7.10614e+07,s,90900,10180
7020,7.10614e+07,s,90900,10260
7024.33,7.11062e+07,e,90900,10340
7024.33,7.11062e+07,e,90900,10260
7079.67,7.16695e+07,e,90900,10180
7320,7.40969e+07,s,90900,10100
7324.67,7.41444e+07,e,90900,10180
7380,7.47033e+07,s,90900,10100
7381.67,7.47202e+07,e,90900,10180
8100,8.19754e+07,s,90900,10100
8104,8.20161e+07,e,90900,10180
9540,9.65197e+07,s,90900,10100
9544.67,9.65672e+07,e,90900,10180
9660,9.77321e+07,s,90900,10100
9660,9.77321e+07,s,90900,10180
9661.33,9.77458e+07,e,90900,10260
9661.67,9.77492e+07,e,90900,10180
9720,9.83383e+07,s,90900,10100
9721.67,9.83553e+07,e,90900,10180
9840,9.95505e+07,s,90900,10100
9840,9.95505e+07,s,90900,10180
9840,9.95505e+07,s,90900,10260
9842,9.95712e+07,e,90900,10340
9844.33,9.95951e+07,e,90900,10260
9844.67,9.95985e+07,e,90900,10180
22500,2.27417e+08,s,90900,10100
22502,2.27438e+08,e,90900,10180
22860,2.31054e+08,s,90900,10100
22860,2.31054e+08,s,90900,10180
22860,2.31054e+08,s,90900,10260
22860,2.31054e+08,s,90900,10340
22860,2.31054e+08,s,90900,10420
22862.3,2.31078e+08,e,90900,10500
22862.7,2.31081e+08,e,90900,10420
22876.3,2.31223e+08,e,90900,10340
22878,2.3124e+08,e,90900,10260
22881.7,2.31277e+08,e,90900,10180
23220,2.34694e+08,s,90900,10100
23220,2.34694e+08,s,90900,10180
23220,2.34694e+08,s,90900,10260
23220,2.34694e+08,s,90900,10340
23220,2.34694e+08,s,90900,10420
23220,2.34694e+08,s,90900,10500
23254,2.35054e+08,e,90900,10580
23309,2.35632e+08,e,90900,10500
23315,2.35694e+08,e,90900,10420
23336.7,2.35918e+08,e,90900,10340
23340,2.35952e+08,s,90900,10260
23340.7,2.35959e+08,e,90900,10340
23345.3,2.36007e+08,e,90900,10260
23377,2.3633e+08,e,90900,10180
23400,2.36562e+08,s,90900,10100
23407,2.36633e+08,e,90900,10180
23700,2.39592e+08,s,90900,10100
23700,2.39592e+08,s,90900,10180
23700.7,2.39599e+08,e,90900,10260
23701.3,2.39606e+08,e,90900,10180
23820,2.40805e+08,s,90900,10100
23820,2.40805e+08,s,90900,10180
23824.3,2.40849e+08,e,90900,10260
23825.3,2.40859e+08,e,90900,10180
23880,2.41411e+08,s,90900,10100
24000,2.42633e+08,s,90900,10180
24000,2.42633e+08,s,90900,10260
24000,2.42633e+08,s,90900,10340
24000,2.42633e+08,s,90900,10420
24001.7,2.4265e+08,e,90900,10500
24001.7,2.4265e+08,e,90900,10420
24002.7,2.42661e+08,e,90900,10340
24002.7,2.42661e+08,e,90900,10260
24048.3,2.43126e+08,e,90900,10180
24120,2.43849e+08,s,90900,10100
24120,2.43849e+08,s,90900,10180
24120,2.43849e+08,s,90900,10260
24121.7,2.43867e+08,e,90900,10340
24125.3,2.43904e+08,e,90900,10260
24125.3,2.43904e+08,e,90900,10180
24180,2.44456e+08,s,90900,10100
24180,2.44456e+08,s,90900,10180
24181.3,2.4447e+08,e,90900,10260
24181.7,2.44474e+08,e,90900,10180
24540,2.48093e+08,s,90900,10100
24542,2.48113e+08,e,90900,10180
24600,2.48699e+08,s,90900,10100
24600,2.48699e+08,s,90900,10180
24600,2.48699e+08,s,90900,10260
24689,2.49619e+08,e,90900,10340
24754.3,2.50289e+08,e,90900,10260
24768.3,2.50432e+08,e,90900,10180
24780,2.5055e+08,s,90900,10100
24785.7,2.50607e+08,e,90900,10180
24900,2.51762e+08,s,90900,10100
24926,2.52027e+08,e,90900,10180
25200,2.54794e+08,s,90900,10100
25215,2.54947e+08,e,90900,10180
25440,2.5722e+08,s,90900,10100
25560,2.58441e+08,s,90900,10180
25560,2.58441e+08,s,90900,10260
25560,2.58441e+08,s,90900,10340
25560,2.58441e+08,s,90900,10420
25560,2.58441e+08,s,90900,10500
25561.7,2.58459e+08,e,90900,10580
25561.7,2.58459e+08,e,90900,10500
25561.7,2.58459e+08,e,90900,10420
25564.7,2.5849e+08,e,90900,10340
25565.3,2.58497e+08,e,90900,10260
25620,2.59053e+08,s,90900,10180
25620,2.59053e+08,s,90900,10260
25620,2.59053e+08,s,90900,10340
25621.7,2.5907e+08,e,90900,10420
25621.7,2.5907e+08,e,90900,10340
25622.7,2.59081e+08,e,90900,10260
25714.7,2.60017e+08,e,90900,10180
25860,2.61485e+08,s,90900,10100
25863.3,2.61519e+08,e,90900,10180
25980,2.62697e+08,s,90900,10100
25983.3,2.62731e+08,e,90900,10180
26340,2.66334e+08,s,90900,10100
26341.3,2.66347e+08,e,90900,10180
26580,2.68758e+08,s,90900,10100
26580.7,2.68765e+08,e,90900,10180
28260,2.85726e+08,s,90900,10100
28264.3,2.8577e+08,e,90900,10180
28380,2.86938e+08,s,90900,10100
28380,2.86938e+08,s,90900,10180
28383,2.86969e+08,e,90900,10260
28383.7,2.86976e+08,e,90900,10180
28440,2.87545e+08,s,90900,10100
28452.3,2.8767e+08,e,90900,10180
28560,2.88758e+08,s,90900,10100
28560,2.88758e+08,s,90900,10180
28560,2.88758e+08,s,90900,10260
28560,2.88758e+08,s,90900,10340
28560,2.88758e+08,s,90900,10420
28560,2.88758e+08,s,90900,10500
28560,2.88758e+08,s,90900,10580
28560,2.88758e+08,s,90900,10660
28560,2.88758e+08,s,90900,10740
28560,2.88758e+08,s,90900,10820
28560,2.88758e+08,s,90900,10900
28560,2.88758e+08,s,90900,10980
28560,2.88758e+08,s,90900,11060
28560,2.88758e+08,s,90900,11140
28560,2.88758e+08,s,90900,11220
28560,2.88758e+08,s,90900,11300
28560,2.88758e+08,s,90900,11380
28560,2.88758e+08,s,90900,11460
28560,2.88758e+08,s,90900,11540
28560,2.88758e+08,s,90900,11620
28560,2.88758e+08,s,90900,11700
28560,2.88758e+08,s,90900,11780
28560,2.88758e+08,s,90900,11860
28560,2.88758e+08,s,90900,11940
28560,2.88758e+08,s,90900,12020
28560,2.88758e+08,s,90900,12100
28560,2.88758e+08,s,90900,12180
28560,2.88758e+08,s,90900,12260
28560,2.88758e+08,s,90900,12340
28560,2.88758e+08,s,90900,12420
28560,2.88758e+08,s,90900,12500
28560,2.88758e+08,s,90900,12580
28560,2.88758e+08,s,90900,12660
28560,2.88758e+08,s,90900,12740
28560,2.88758e+08,s,90900,12820
28560,2.88758e+08,s,90900,12900
28560,2.88758e+08,s,90900,12980
28560,2.88758e+08,s,90900,13060
28560,2.88758e+08,s,90900,13140
28560,2.88758e+08,s,90900,13220
28560,2.88758e+08,s,90900,13300
28560,2.88758e+08,s,90900,13380
28560,2.88758e+08,s,90900,13460
28560,2.88758e+08,s,90900,13540
28560,2.88758e+08,s,90900,13620
28561.7,2.88781e+08,e,90900,13700
28561.7,2.88781e+08,e,90900,13620
28562.7,2.88794e+08,e,90900,13540
28567.3,2.88857e+08,e,90900,13460
28577.7,2.88995e+08,e,90900,13380
28580.7,2.89035e+08,e,90900,13300
28593,2.89198e+08,e,90900,13220
28657,2.90039e+08,e,90900,13140
28684.7,2.904e+08,e,90900,13060
28685.3,2.90409e+08,e,90900,12980
28694,2.90521e+08,e,90900,12900
28707.7,2.90696e+08,e,90900,12820
28709.3,2.90717e+08,e,90900,12740
28709.3,2.90717e+08,e,90900,12660
28713.3,2.90768e+08,e,90900,12580
28714.3,2.9078e+08,e,90900,12500
28714.7,2.90784e+08,e,90900,12420
28729.3,2.90965e+08,e,90900,12340
28741,2.91108e+08,e,90900,12260
28750.7,2.91226e+08,e,90900,12180
28757,2.91303e+08,e,90900,12100
28759,2.91327e+08,e,90900,12020
28781,2.91589e+08,e,90900,11940
28795,2.91755e+08,e,90900,11860
30235.7,3.08726e+08,e,90900,11780
30246.7,3.08855e+08,e,90900,11700
30270.7,3.09134e+08,e,90900,11620
30301.3,3.09488e+08,e,90900,11540
30410,3.10733e+08,e,90900,11460
30412,3.10756e+08,e,90900,11380
30581.3,3.12669e+08,e,90900,11300
30737.3,3.1442e+08,e,90900,11220
30776.3,3.14854e+08,e,90900,11140
30841,3.15569e+08,e,90900,11060
30861.3,3.15793e+08,e,90900,10980
30881.3,3.16011e+08,e,90900,10900
30938.7,3.16631e+08,e,90900,10820
30957.3,3.16832e+08,e,90900,10740
30965,3.16913e+08,e,90900,10660
30972,3.16987e+08,e,90900,10580
30972,3.16987e+08,e,90900,10500
30980,3.17071e+08,e,90900,10420
30997.3,3.1725e+08,e,90900,10340
30999,3.17267e+08,e,90900,10260
31046.7,3.17752e+08,e,90900,10180
36840,3.76265e+08,s,90900,10100
36840,3.76265e+08,s,90900,10180
36840,3.76265e+08,s,90900,10260
36840,3.76265e+08,s,90900,10340
36840,3.76265e+08,s,90900,10420
36840,3.76265e+08,s,90900,10500
36840,3.76265e+08,s,90900,10580
36840,3.76265e+08,s,90900,10660
36840,3.76265e+08,s,90900,10740
36840,3.76265e+08,s,90900,10820
36840,3.76265e+08,s,90900,10900
36840,3.76265e+08,s,90900,10980
36840,3.76265e+08,s,90900,11060
36840,3.76265e+08,s,90900,11140
36840,3.76265e+08,s,90900,11220
36840,3.76265e+08,s,90900,11300
36840,3.76265e+08,s,90900,11380
36840,3.76265e+08,s,90900,11460
36840,3.76265e+08,s,90900,11540
36840,3.76265e+08,s,90900,11620
36840,3.76265e+08,s,90900,11700
36840,3.76265e+08,s,90900,11780
36840,3.76265e+08,s,90900,11860
36840,3.76265e+08,s,90900,11940
36840,3.76265e+08,s,90900,12020
36840,3.76265e+08,s,90900,12100
36840,3.76265e+08,s,90900,12180
36840,3.76265e+08,s,90900,12260
36840,3.76265e+08,s,90900,12340
36840,3.76265e+08,s,90900,12420
36840,3.76265e+08,s,90900,12500
36840,3.76265e+08,s,90900,12580
36840,3.76265e+08,s,90900,12660
36840,3.76265e+08,s,90900,12740
36840,3.76265e+08,s,90900,12820
36840,3.76265e+08,s,90900,12900
36840,3.76265e+08,s,90900,12980
36840,3.76265e+08,s,90900,13060
36840,3.76265e+08,s,90900,13140
36840,3.76265e+08,s,90900,13220
36840,3.76265e+08,s,90900,13300
36900,3.77068e+08,s,90900,13380
36900,3.77068e+08,s,90900,13460
36900,3.77068e+08,s,90900,13540
36900,3.77068e+08,s,90900,13620
36900,3.77068e+08,s,90900,13700
36900,3.77068e+08,s,90900,13780
36900,3.77068e+08,s,90900,13860
36900,3.77068e+08,s,90900,13940
36900,3.77068e+08,s,90900,14020
36900,3.77068e+08,s,90900,14100
36900,3.77068e+08,s,90900,14180
36900,3.77068e+08,s,90900,14260
36900,3.77068e+08,s,90900,14340
36900,3.77068e+08,s,90900,14420
36900,3.77068e+08,s,90900,14500
36900,3.77068e+08,s,90900,14580
36900,3.77068e+08,s,90900,14660
36900,3.77068e+08,s,90900,14740
36900,3.77068e+08,s,90900,14820
36900,3.77068e+08,s,90900,14900
36900,3.77068e+08,s,90900,14980
36900,3.77068e+08,s,90900,15060
36900,3.77068e+08,s,90900,15140
36900,3.77068e+08,s,90900,15220
36900,3.77068e+08,s,90900,15300
36900,3.77068e+08,s,90900,15380
36900,3.77068e+08,s,90900,15460
36900,3.77068e+08,s,90900,15540
36900,3.77068e+08,s,90900,15620
36900,3.77068e+08,s,90900,15700
36900,3.77068e+08,s,90900,15780
36900,3.77068e+08,s,90900,15860
36900,3.77068e+08,s,90900,15940
36900,3.77068e+08,s,90900,16020
36900,3.77068e+08,s,90900,16100
36900,3.77068e+08,s,90900,16180
36900,3.77068e+08,s,90900,16260
36900,3.77068e+08,s,90900,16340
36900,3.77068e+08,s,90900,16420
36900,3.77068e+08,s,90900,16500
36900,3.77068e+08,s,90900,16580
36900,3.77068e+08,s,90900,16660
