,time,transfer_history.first_attached_node,transfer_history.last_chunk_id,transfer_history.last_completion_date_string,transfer_history.last_creation_date_string,transfer_history.last_data_type,transfer_history.last_data_type_1,transfer_history.last_direction,transfer_history.last_qbox,transfer_history.last_qguid,transfer_history.last_remote_location_name,transfer_history.last_session,transfer_history.last_state,transfer_history.last_task,transfer_history.last_transfer_direction,transfer_history.last_transfer_type,transfer_history.last_transfer_type_1,transfer_history.mean_actually_transferred_size,transfer_history.mean_cached_data_size,transfer_history.mean_time_transfer_sec,transfer_history.mean_transfer_size
6134,2019-03-14T05:09:40.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 05:09:41,14/03/2019\ 05:09:38,Docker,Docker,Down,QBOX-9000-0000-0000-000000000005,SCDL-6113-716f-a148-c8f532fc86e6,b0afe148c7b34a54412da6a7355d1d9724f86cd9b361ab3c851c57e6f720e83b,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-0609-92cd-81b5d96ff122,Down,Docker,Docker,0.0,21106839.0,2.4,20019578.0
6141,2019-03-14T05:10:50.000Z,QBOX-9000-0000-0000-000000000005,0.0,14/03/2019\ 05:10:48,14/03/2019\ 05:10:45,UserSnapshotResult,UserSnapshotResult,Up,QBOX-9000-0000-0000-000000000005,SCUL-fd5a-a450-9f61-4df528701695,0fe5dedbc507c6dc5feaff22a69e60705d31087e321f41d7addfe2c46d429ca0,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-0609-92cd-81b5d96ff122,Up,S3,S3,445.0,0.0,3.0,445.0
6144,2019-03-14T05:11:20.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 05:11:21,14/03/2019\ 05:11:16,Docker,Basesystem,Down,QBOX-9000-0000-0000-000000000005,SCDL-768f-09f0-851f-b6f6724414b0,b0afe148c7b34a54412da6a7355d1d9724f86cd9b361ab3c851c57e6f720e83b,00000000-0000-0000-0000-000000000000,Completed,QSES-0314-0611-3dff-14aa53ffd6f4,Down,S3,S3,0.0,37887373.66666666,5.0,34263763.666666664
6152,2019-03-14T05:12:40.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 05:11:27,14/03/2019\ 05:11:20,Docker,Basesystem,Down,QBOX-9000-0000-0000-000000000005,SCDL-eac6-d08d-1902-259185232ba1,b0afe148c7b34a54412da6a7355d1d9724f86cd9b361ab3c851c57e6f720e83b,00000000-0000-0000-0000-000000000000,Completed,QSES-0314-0611-4da5-e9f02382a0b5,Down,S3,S3,0.0,21919720.6,37.8,20288918.1
6157,2019-03-14T05:13:30.000Z,QBOX-4000-0000-1000-000000000005,,14/03/2019\ 05:13:28,14/03/2019\ 05:13:24,,,,QBOX-4000-0000-1000-000000000005,SCDL-3b52-d452-1944-00fce11cf17a,,00000000-0000-0000-0000-000000000000,Completed,QSES-0314-0611-3dff-14aa53ffd6f4,Down,Docker,,0.0,36532571.0,5.5,33814863.5
6160,2019-03-14T05:14:00.000Z,QBOX-9000-0000-0000-000000000005,0.0,14/03/2019\ 05:14:07,14/03/2019\ 05:14:06,UserResult,UserResult,Up,QBOX-9000-0000-0000-000000000005,SCUL-1081-8911-f0f3-2ade2072eb47,9b722656dadae7e471f9b1ce2deb2a6c5d3f0256335c3a10a8bb3094d6a1571b,QSES-0314-0611-4da5-e9f02382a0b5,Completed,QJOB-0314-0611-5153-136d7134c6bf,Up,S3,S3,296.6666666666667,148.33333333333334,1.3333333333333333,296.6666666666667
6165,2019-03-14T05:14:50.000Z,QBOX-4000-0000-1000-000000000005,,14/03/2019\ 05:14:55,14/03/2019\ 05:11:56,,,,QBOX-4000-0000-1000-000000000001,SCDL-c62e-db91-0566-0199a72be5eb,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-0611-d125-470b3ec1944d,Down,QDisk,,28888724.4,899967346.6,85.0,302369537.0
6167,2019-03-14T05:15:10.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 05:15:14,14/03/2019\ 05:15:09,Docker,Basesystem,Down,QBOX-9000-0000-0000-000000000005,SCDL-bcef-4e9a-561b-bcdbdc84e200,b0afe148c7b34a54412da6a7355d1d9724f86cd9b361ab3c851c57e6f720e83b,00000000-0000-0000-0000-000000000000,Completed,QSES-0314-0615-22fc-19070832bc18,Down,S3,S3,0.0,37887373.66666666,4.0,34263763.666666664
6178,2019-03-14T05:17:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 05:17:06,14/03/2019\ 05:17:00,Docker,Basesystem,Down,QBOX-9000-0000-0000-000000000005,SCDL-6a27-a97d-47ec-4c754fcb3582,b0afe148c7b34a54412da6a7355d1d9724f86cd9b361ab3c851c57e6f720e83b,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-0616-e91c-56f61f635854,Down,S3,S3,0.0,36532571.0,5.0,33814863.5
6179,2019-03-14T05:17:10.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 05:17:15,14/03/2019\ 05:17:10,Docker,Docker,Down,QBOX-9000-0000-0000-000000000005,SCDL-9d0a-425e-8731-aa56d3195a07,b0afe148c7b34a54412da6a7355d1d9724f86cd9b361ab3c851c57e6f720e83b,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-0617-254a-27851f611177,Down,S3,Docker,0.0,35719689.4,5.2,33545523.4
