,time,transfer_history.first_attached_node,transfer_history.last_chunk_id,transfer_history.last_completion_date_string,transfer_history.last_creation_date_string,transfer_history.last_data_type,transfer_history.last_data_type_1,transfer_history.last_direction,transfer_history.last_qbox,transfer_history.last_qguid,transfer_history.last_remote_location_name,transfer_history.last_session,transfer_history.last_state,transfer_history.last_task,transfer_history.last_transfer_direction,transfer_history.last_transfer_type,transfer_history.last_transfer_type_1,transfer_history.mean_actually_transferred_size,transfer_history.mean_cached_data_size,transfer_history.mean_time_transfer_sec,transfer_history.mean_transfer_size
1737,2019-03-14T17:02:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 17:02:13,14/03/2019\ 17:02:11,Docker,Docker,Down,QBOX-9000-0000-0000-000000000005,SCDL-96bb-f5b1-49b9-190a9b5bbab6,b0afe148c7b34a54412da6a7355d1d9724f86cd9b361ab3c851c57e6f720e83b,00000000-0000-0000-0000-000000000000,Completed,QSES-0314-1802-269e-9e5f69c4ba08,Down,Docker,Docker,0.0,36532571.0,3.5,33814863.5
1739,2019-03-14T17:04:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 17:04:38,14/03/2019\ 17:04:32,UserData,Docker,Down,QBOX-9000-0000-0000-000000000005,SCDL-2404-d5fc-8dc4-ed859b2ff773,b0afe148c7b34a54412da6a7355d1d9724f86cd9b361ab3c851c57e6f720e83b,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1804-7c29-e79a532d4043,Down,S3,Docker,0.0,26383437.5,3.0,25024472.5
1740,2019-03-14T17:05:00.000Z,QBOX-9000-0000-0000-000000000005,0.0,14/03/2019\ 17:05:44,14/03/2019\ 17:05:43,UserSnapshotResult,UserSnapshotResult,Up,QBOX-9000-0000-0000-000000000005,SCUL-fc30-b8b5-effe-31e576ab2b9c,0fe5dedbc507c6dc5feaff22a69e60705d31087e321f41d7addfe2c46d429ca0,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1804-7c29-e79a532d4043,Up,S3,S3,445.0,0.0,1.0,445.0
1741,2019-03-14T17:06:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 17:06:18,14/03/2019\ 17:06:11,Docker,Basesystem,Down,QBOX-9000-0000-0000-000000000005,SCDL-c0c5-5520-bf21-99c4e8545174,b0afe148c7b34a54412da6a7355d1d9724f86cd9b361ab3c851c57e6f720e83b,00000000-0000-0000-0000-000000000000,Completed,QSES-0314-1806-2d6c-117fc86a2668,Down,S3,S3,0.0,37887373.66666666,7.0,34263763.666666664
1742,2019-03-14T17:07:00.000Z,QBOX-9000-0000-0000-000000000005,0.0,14/03/2019\ 17:07:45,14/03/2019\ 17:07:42,UserResult,UserData,Down,QBOX-9000-0000-0000-000000000005,SCDL-7774-eff9-3fb6-b35f71508fdb,868d7478dee6b185d654900ed54336458c451c0dcf9370874770e1b6d2508aac,QSES-0314-1806-2d6c-117fc86a2668,Completed,QJOB-0314-1806-3117-bcd7f384764e,Up,S3,S3,40.45454545454545,16236424.727272727,25.181818181818183,15248005.636363635
1743,2019-03-14T17:08:00.000Z,QBOX-9000-0000-0000-000000000005,0.0,14/03/2019\ 17:08:55,14/03/2019\ 17:08:52,UserResult,UserResult,Up,QBOX-9000-0000-0000-000000000005,SCUL-0b70-82db-42ee-c00fcc048f2d,9b722656dadae7e471f9b1ce2deb2a6c5d3f0256335c3a10a8bb3094d6a1571b,QSES-0314-1806-3cd5-fc110859b606,Completed,QJOB-0314-1806-402a-90451b7836c6,Up,S3,S3,356.0,89.0,1.8,356.0
1744,2019-03-14T17:09:00.000Z,QBOX-5000-0000-0000-000000000004,-1.0,14/03/2019\ 17:09:11,14/03/2019\ 17:09:09,Docker,Docker,Down,QBOX-9000-0000-0000-000000000005,SCDL-3477-39a9-96ac-1d138b0ef81f,b0afe148c7b34a54412da6a7355d1d9724f86cd9b361ab3c851c57e6f720e83b,00000000-0000-0000-0000-000000000000,Completed,QSES-0314-1809-21ae-14f3d38e376e,Down,Docker,Docker,0.0,42562615.5,4.5,40021036.0
1745,2019-03-14T17:10:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 17:10:56,14/03/2019\ 17:10:51,Docker,Docker,Down,QBOX-9000-0000-0000-000000000005,SCDL-7f4f-3160-7790-62a71d95783f,b0afe148c7b34a54412da6a7355d1d9724f86cd9b361ab3c851c57e6f720e83b,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1810-c802-9562b5e43057,Down,S3,Docker,0.0,35177768.333333336,3.0,33365963.33333333
1746,2019-03-14T17:11:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 17:11:09,14/03/2019\ 17:11:05,Docker,Docker,Down,QBOX-9000-0000-0000-000000000005,SCDL-b91a-1866-f5e2-20bf798af019,b0afe148c7b34a54412da6a7355d1d9724f86cd9b361ab3c851c57e6f720e83b,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1811-118d-e0f78d8ea258,Down,Docker,Docker,0.0,36939011.8,5.8,33949533.55
1747,2019-03-14T17:12:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 17:12:48,14/03/2019\ 17:12:42,Docker,Docker,Down,QBOX-4000-0000-1000-000000000005,SCDL-8ef0-8401-2128-cd37e408dcd2,b0afe148c7b34a54412da6a7355d1d9724f86cd9b361ab3c851c57e6f720e83b,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1812-a43f-b18bf279f20d,Down,QDisk,Docker,726396.875,1104870703.875,3.625,1103260820.375
1749,2019-03-14T17:14:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 17:13:58,14/03/2019\ 17:13:52,Docker,Basesystem,Down,QBOX-9000-0000-0000-000000000005,SCDL-7860-3ee2-477b-fcf77355b97b,b0afe148c7b34a54412da6a7355d1d9724f86cd9b361ab3c851c57e6f720e83b,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1813-cd44-7bfb1daeb363,Down,S3,S3,0.0,37887373.66666666,5.0,34263763.666666664
1750,2019-03-14T17:15:00.000Z,QBOX-4000-0000-1000-000000000001,-1.0,14/03/2019\ 17:15:26,14/03/2019\ 17:15:21,Docker,Docker,Down,QBOX-9000-0000-0000-000000000005,SCDL-b343-6ec1-9088-ba4f88b3b329,33574517de06a3434b7e86c4e34a727eaf60fbed4d85b6d2ac586f55cfb4f768,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1815-511d-0ae3db4d6cae,Down,S3,Docker,30311784.0,1660775692.5,54.625,1275033662.125
1752,2019-03-14T17:17:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 17:17:42,14/03/2019\ 17:17:41,Docker,Docker,Down,QBOX-9000-0000-0000-000000000005,SCDL-8c0a-bb77-7956-675bbe9968fa,33574517de06a3434b7e86c4e34a727eaf60fbed4d85b6d2ac586f55cfb4f768,00000000-0000-0000-0000-000000000000,Completed,QSES-0314-1817-9f13-85f1b5eebd1d,Down,Docker,Docker,148.33333333333334,1455572054.3333333,3.333333333333333,1453760397.6666667
1753,2019-03-14T17:18:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 17:18:27,14/03/2019\ 17:18:24,Docker,Docker,Down,QBOX-9000-0000-0000-000000000005,SCDL-8f45-7634-7f09-88a472076962,33574517de06a3434b7e86c4e34a727eaf60fbed4d85b6d2ac586f55cfb4f768,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1818-5cd6-6575c6d1af97,Down,Docker,Docker,81019.18181818182,1589400633.2727273,4.545454545454546,1585977023.2727273
1755,2019-03-14T17:20:00.000Z,QBOX-9000-0000-0000-000000000005,0.0,14/03/2019\ 17:20:23,14/03/2019\ 17:20:21,UserResult,UserData,Down,QBOX-4000-0000-1000-000000000005,SCDL-b2d1-70d8-4de2-b334df3f3707,fb9cecfb45eed643a09ee618bd77e5cfc781ee1829ccd52bd9eccd263298e073,00000000-0000-0000-0000-000000000000,Completed,QSES-0314-1817-9f13-85f1b5eebd1d,Down,Docker,S3,58.69565217391305,379715213.0869565,3.695652173913044,379241862.8695652
1756,2019-03-14T17:21:00.000Z,QBOX-4000-0000-1000-000000000005,,14/03/2019\ 17:21:14,14/03/2019\ 17:21:09,,,,QBOX-4000-0000-1000-000000000005,SCDL-bfb7-3347-6063-f5f6552bf9dc,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1818-5cd6-6575c6d1af97,Down,QDisk,,0.0,1103281079.25,4.0,1099110578.0
1757,2019-03-14T17:22:00.000Z,QBOX-4000-0000-1000-000000000001,-1.0,14/03/2019\ 17:22:45,14/03/2019\ 17:22:43,Docker,Docker,Down,QBOX-9000-0000-0000-000000000005,SCDL-5dfc-283a-4db7-c7a0bf804f8c,33574517de06a3434b7e86c4e34a727eaf60fbed4d85b6d2ac586f55cfb4f768,00000000-0000-0000-0000-000000000000,Completed,QSES-0314-1817-9f13-85f1b5eebd1d,Down,Docker,Docker,89.2857142857143,335178927.46428573,3.928571428571429,334789909.4285714
1758,2019-03-14T17:23:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 17:23:28,14/03/2019\ 17:23:26,Docker,Docker,Down,QBOX-9000-0000-0000-000000000005,SCDL-c73a-47c5-c4cf-3c46799e9676,33574517de06a3434b7e86c4e34a727eaf60fbed4d85b6d2ac586f55cfb4f768,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1818-5cd6-6575c6d1af97,Down,Docker,Docker,0.0,1937024402.5555558,3.4444444444444446,1933921225.3333333
1760,2019-03-14T17:25:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 17:25:27,14/03/2019\ 17:25:25,UserData,UserData,Down,QBOX-4000-0000-1000-000000000005,SCDL-e4d4-8c92-35a0-fd1ecc4aebd9,fb9cecfb45eed643a09ee618bd77e5cfc781ee1829ccd52bd9eccd263298e073,00000000-0000-0000-0000-000000000000,Completed,QSES-0314-1817-9f13-85f1b5eebd1d,Down,Docker,S3,2.272727272727273,264650704.5757576,3.060606060606061,264320047.6060606
1762,2019-03-14T17:27:00.000Z,QBOX-4000-0000-1000-000000000005,-1.0,14/03/2019\ 17:27:51,14/03/2019\ 17:27:48,UserData,UserData,Down,QBOX-9000-0000-0000-000000000005,SCDL-5c07-6fdf-ff5d-9de5c150743b,fb9cecfb45eed643a09ee618bd77e5cfc781ee1829ccd52bd9eccd263298e073,QSES-0314-1817-9f13-85f1b5eebd1d,Completed,QJOB-0314-1818-3417-e37e8a6053fd,Down,S3,S3,0.0,1682.6923076923074,3.0384615384615383,0.0
1763,2019-03-14T17:28:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 17:28:09,14/03/2019\ 17:28:05,UserData,UserData,Down,QBOX-9000-0000-0000-000000000005,SCDL-3698-cad7-8120-50ce12f125dd,fb9cecfb45eed643a09ee618bd77e5cfc781ee1829ccd52bd9eccd263298e073,QSES-0314-1817-9f13-85f1b5eebd1d,Completed,QJOB-0314-1818-4975-beed35836b8e,Down,S3,S3,12.0,1015.0,3.52,12.0
1764,2019-03-14T17:29:00.000Z,QBOX-4000-0000-1000-000000000005,-1.0,14/03/2019\ 17:29:26,14/03/2019\ 17:29:19,Docker,Docker,Down,QBOX-9000-0000-0000-000000000005,SCDL-b816-82f4-61e3-54d87d7f85db,33574517de06a3434b7e86c4e34a727eaf60fbed4d85b6d2ac586f55cfb4f768,00000000-0000-0000-0000-000000000000,Completed,QSES-0314-1817-9f13-85f1b5eebd1d,Down,S3,Docker,0.0,2347467335.538461,5.153846153846153,2344958682.461539
1766,2019-03-14T17:31:00.000Z,QBOX-4000-0000-1000-000000000005,,14/03/2019\ 17:31:20,14/03/2019\ 17:31:14,,,,QBOX-4000-0000-1000-000000000005,SCDL-151e-0b7b-2e1a-b4187888a253,,QSES-0314-1817-9f13-85f1b5eebd1d,Completed,QJOB-0314-1818-4975-beed35836b8e,Down,QDisk,,0.0,2100.0,5.636363636363638,0.0
1767,2019-03-14T17:32:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 17:32:00,14/03/2019\ 17:31:55,Docker,Basesystem,Down,QBOX-9000-0000-0000-000000000005,SCDL-f4f8-eef7-98b5-762386c4a530,b0afe148c7b34a54412da6a7355d1d9724f86cd9b361ab3c851c57e6f720e83b,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1831-d7e4-8cdb5dd7d730,Down,S3,S3,0.0,37887373.66666666,5.0,34263763.666666664
1768,2019-03-14T17:33:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 17:33:24,14/03/2019\ 17:33:20,Docker,Basesystem,Down,QBOX-9000-0000-0000-000000000005,SCDL-414b-b785-e9ee-9e2f2c379094,b0afe148c7b34a54412da6a7355d1d9724f86cd9b361ab3c851c57e6f720e83b,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1833-4ef4-e6f5f2c16f25,Down,S3,S3,0.0,37887373.66666666,4.0,34263763.666666664
1770,2019-03-14T17:35:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 17:34:52,14/03/2019\ 17:34:49,Docker,Docker,Down,QBOX-9000-0000-0000-000000000005,SCDL-12f5-c9e2-141d-1ff1d7caf31a,b0afe148c7b34a54412da6a7355d1d9724f86cd9b361ab3c851c57e6f720e83b,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1834-bd3c-c9f60699b53c,Down,Docker,Docker,0.0,24355195.66666667,3.6666666666666665,22543242.33333333
1771,2019-03-14T17:36:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 17:36:39,14/03/2019\ 17:36:32,Docker,Docker,Down,QBOX-4000-0000-1000-000000000005,SCDL-ec1e-0dab-6006-640e92eaf65b,bb8d1212035eaf00c84112073fa82aae044c5b90d3c6bbfa83f58cf7922f089a,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1836-7a20-64e2eb9e3043,Down,QDisk,Docker,52.352941176470594,42375887.29411765,4.235294117647058,40137827.5882353
1773,2019-03-14T17:38:00.000Z,QBOX-6000-0000-0000-000000000004,,14/03/2019\ 17:38:56,14/03/2019\ 17:38:50,,,,QBOX-6000-0000-0000-000000000004,SCDL-6041-8396-9dc5-5760c95cf0f4,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0307-1124-91be-93edf97c6c2e,Down,QDisk,,0.0,49403863.66666666,4.0,47826896.0
1777,2019-03-14T17:42:00.000Z,QBOX-4000-0000-1000-000000000001,,14/03/2019\ 17:42:44,14/03/2019\ 17:42:41,,,,QBOX-4000-0000-1000-000000000001,SCDL-1936-81d1-d2a0-f9f70e74f746,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1842-9753-3597c0b08f64,Down,Docker,,0.0,162888367.0,3.0,162888367.0
1784,2019-03-14T17:49:00.000Z,QBOX-5000-0000-0000-000000000004,,14/03/2019\ 17:49:16,14/03/2019\ 17:49:13,,,,QBOX-5000-0000-0000-000000000004,SCDL-6f1e-caaa-bd2f-25d779bc1e92,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0307-1124-91be-93edf97c6c2e,Down,Docker,,0.0,48592660.0,6.0,46227208.5
1786,2019-03-14T17:51:00.000Z,QBOX-4000-0000-1000-000000000001,,14/03/2019\ 17:51:50,14/03/2019\ 17:51:46,,,,QBOX-4000-0000-1000-000000000001,SCDL-e5e8-9819-16f2-fc8643c41b9e,,00000000-0000-0000-0000-000000000000,Failed,QJOB-0314-1851-afda-7c3ffc1fbaa8,Down,Qfs,,0.0,17709947.545454547,3.727272727272727,17709907.09090909
1787,2019-03-14T17:52:00.000Z,QBOX-4000-0000-1000-000000000001,,14/03/2019\ 17:52:38,14/03/2019\ 17:52:34,,,,QBOX-4000-0000-1000-000000000001,SCDL-9d07-6d50-9aca-5c5afbc31316,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1852-7b93-0f54ab888bba,Down,Docker,,0.0,31896308.85,3.15,31896308.85
1789,2019-03-14T17:54:00.000Z,QBOX-4000-0000-1000-000000000001,,14/03/2019\ 17:54:21,14/03/2019\ 17:54:19,,,,QBOX-4000-0000-1000-000000000001,SCDL-0215-5a33-ab03-482bc0787e59,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1854-45ee-6729ac6c3461,Down,Docker,,0.0,657662944.5,2.0,652984384.5
