time,transfer_history.first_attached_node,transfer_history.last_chunk_id,transfer_history.last_completion_date_string,transfer_history.last_creation_date_string,transfer_history.last_data_type,transfer_history.last_data_type_1,transfer_history.last_direction,transfer_history.last_qbox,transfer_history.last_qguid,transfer_history.last_remote_location_name,transfer_history.last_session,transfer_history.last_state,transfer_history.last_task,transfer_history.last_transfer_direction,transfer_history.last_transfer_type,transfer_history.last_transfer_type_1,transfer_history.mean_actually_transferred_size,transfer_history.mean_cached_data_size,transfer_history.mean_time_transfer_sec,transfer_history.mean_transfer_size
2019-03-13T13:07:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:08:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:09:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:10:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:11:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:12:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:13:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:14:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:15:00.000Z,QBOX-6000-0000-0000-000000000004,,13/03/2019\ 13:15:40,13/03/2019\ 13:15:33,,,,QBOX-6000-0000-0000-000000000004,SCDL-e4da-4132-93a5-98b27807ac38,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0307-1124-91be-93edf97c6c2e,Down,QDisk,,0,49403863.666666664,5,47826896
2019-03-13T13:16:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:17:00.000Z,QBOX-6000-0000-0000-000000000005,,13/03/2019\ 13:17:34,13/03/2019\ 13:17:31,,,,QBOX-6000-0000-0000-000000000005,SCDL-cd99-3e88-db4c-e13d1cbb5f2e,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0311-1115-7ba8-6c03b84ce456,Down,Docker,,3322,7323305935.2,7.8,81715604.8
