time,transfer_history.actually_transferred_size,transfer_history.attached_node,transfer_history.cached_data_size,transfer_history.chunk_id,transfer_history.completion_date_string,transfer_history.creation_date_string,transfer_history.data_type,transfer_history.remote_location_name,transfer_history.serializer_sampling_time,transfer_history.serializer_session,transfer_history.serializer_task,transfer_history.state,transfer_history.time_transfer_sec,transfer_history.transfer_direction,transfer_history.transfer_size,transfer_history.transfer_type
2019-03-26T03:03:32.142Z,0,QBOX-4000-0000-1000-000000000006,40614471,,26/03/2019\ 03:03:30,26/03/2019\ 03:03:25,,,2019-03-26T03:03:30.1665640Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,5,Down,35179056,QDisk
2019-03-26T03:03:32.143Z,0,QBOX-4000-0000-1000-000000000006,32468163,,26/03/2019\ 03:03:27,26/03/2019\ 03:03:25,,,2019-03-26T03:03:30.1666000Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,2,Down,32468163,Docker
2019-03-26T03:04:12.144Z,0,QBOX-4000-0000-1000-000000000006,40614471,,26/03/2019\ 03:04:06,26/03/2019\ 03:03:59,,,2019-03-26T03:04:06.3337930Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,7,Down,35179056,QDisk
2019-03-26T03:04:42.139Z,0,QBOX-4000-0000-1000-000000000006,40614471,,26/03/2019\ 03:04:39,26/03/2019\ 03:04:33,,,2019-03-26T03:04:39.4830020Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,6,Down,35179056,QDisk
2019-03-26T03:05:22.135Z,0,QBOX-4000-0000-1000-000000000006,40614471,,26/03/2019\ 03:05:12,26/03/2019\ 03:05:07,,,2019-03-26T03:05:12.6148600Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,5,Down,35179056,QDisk
2019-03-26T03:05:52.151Z,0,QBOX-4000-0000-1000-000000000006,32468163,,26/03/2019\ 03:05:45,26/03/2019\ 03:05:42,,,2019-03-26T03:05:48.7693520Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,3,Down,32468163,Docker
2019-03-26T03:05:58.753Z,1297,QBOX-9000-0000-0000-000000000005,0,0,26/03/2019\ 03:05:50,26/03/2019\ 03:05:49,UserResult,6e717f332129e5cb7ded026022d160619d6233d4e3f9c4ad0d9078a4c1b0d0e1,2019-03-26T03:05:50.7173640Z,00000000-0000-0000-0000-000000000000,424f4a51-0326-0402-de5d-dc17397fa418,Completed,1,Up,1297,S3
2019-03-26T03:06:22.135Z,0,QBOX-4000-0000-1000-000000000006,40614471,,26/03/2019\ 03:06:21,26/03/2019\ 03:06:16,,,2019-03-26T03:06:21.9226460Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,5,Down,35179056,QDisk
2019-03-26T03:07:02.139Z,0,QBOX-4000-0000-1000-000000000006,40614471,,26/03/2019\ 03:06:55,26/03/2019\ 03:06:50,,,2019-03-26T03:06:55.0702220Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,5,Down,35179056,QDisk
2019-03-26T03:07:02.140Z,0,QBOX-4000-0000-1000-000000000006,32468163,,26/03/2019\ 03:06:52,26/03/2019\ 03:06:50,,,2019-03-26T03:06:55.0702780Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,2,Down,32468163,Docker
2019-03-26T03:07:32.142Z,0,QBOX-4000-0000-1000-000000000006,40614471,,26/03/2019\ 03:07:31,26/03/2019\ 03:07:24,,,2019-03-26T03:07:31.2316500Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,7,Down,35179056,QDisk
2019-03-26T03:07:32.143Z,0,QBOX-4000-0000-1000-000000000006,32468163,,26/03/2019\ 03:07:28,26/03/2019\ 03:07:24,,,2019-03-26T03:07:31.2316940Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,4,Down,32468163,Docker
2019-03-26T03:08:12.153Z,0,QBOX-4000-0000-1000-000000000006,40614471,,26/03/2019\ 03:08:04,26/03/2019\ 03:07:58,,,2019-03-26T03:08:04.3809080Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,6,Down,35179056,QDisk
2019-03-26T03:08:12.154Z,0,QBOX-4000-0000-1000-000000000006,32468163,,26/03/2019\ 03:08:01,26/03/2019\ 03:07:58,,,2019-03-26T03:08:04.3809510Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,3,Down,32468163,Docker
2019-03-26T03:08:42.139Z,0,QBOX-4000-0000-1000-000000000006,40614471,,26/03/2019\ 03:08:37,26/03/2019\ 03:08:32,,,2019-03-26T03:08:37.5257350Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,5,Down,35179056,QDisk
2019-03-26T03:09:22.156Z,0,QBOX-4000-0000-1000-000000000006,40614471,,26/03/2019\ 03:09:13,26/03/2019\ 03:09:07,,,2019-03-26T03:09:13.6966660Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,6,Down,35179056,QDisk
2019-03-26T03:09:52.147Z,0,QBOX-4000-0000-1000-000000000006,32468163,,26/03/2019\ 03:09:43,26/03/2019\ 03:09:41,,,2019-03-26T03:09:46.8389670Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,2,Down,32468163,Docker
2019-03-26T03:10:32.138Z,0,QBOX-4000-0000-1000-000000000006,32468163,,26/03/2019\ 03:10:19,26/03/2019\ 03:10:16,,,2019-03-26T03:10:22.9971410Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,3,Down,32468163,Docker
2019-03-26T03:11:02.136Z,0,QBOX-4000-0000-1000-000000000006,32468163,,26/03/2019\ 03:10:53,26/03/2019\ 03:10:50,,,2019-03-26T03:10:56.1518670Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,3,Down,32468163,Docker
2019-03-26T03:11:42.138Z,0,QBOX-4000-0000-1000-000000000006,40614471,,26/03/2019\ 03:11:32,26/03/2019\ 03:11:25,,,2019-03-26T03:11:32.3115960Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,7,Down,35179056,QDisk
2019-03-26T03:12:12.143Z,0,QBOX-4000-0000-1000-000000000006,32468163,,26/03/2019\ 03:12:02,26/03/2019\ 03:11:59,,,2019-03-26T03:12:05.4670220Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,3,Down,32468163,Docker
2019-03-26T03:12:42.145Z,0,QBOX-4000-0000-1000-000000000006,32468163,,26/03/2019\ 03:12:38,26/03/2019\ 03:12:34,,,2019-03-26T03:12:38.6031450Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,4,Down,32468163,Docker
2019-03-26T03:13:22.147Z,0,QBOX-4000-0000-1000-000000000006,32468163,,26/03/2019\ 03:13:11,26/03/2019\ 03:13:08,,,2019-03-26T03:13:14.7537280Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,3,Down,32468163,Docker
2019-03-26T03:13:52.140Z,0,QBOX-4000-0000-1000-000000000006,32468163,,26/03/2019\ 03:13:44,26/03/2019\ 03:13:42,,,2019-03-26T03:13:47.8943570Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,2,Down,32468163,Docker
2019-03-26T03:14:32.149Z,0,QBOX-4000-0000-1000-000000000006,40614471,,26/03/2019\ 03:14:24,26/03/2019\ 03:14:17,,,2019-03-26T03:14:24.0616950Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,7,Down,35179056,QDisk
2019-03-26T03:14:32.150Z,0,QBOX-4000-0000-1000-000000000006,32468163,,26/03/2019\ 03:14:21,26/03/2019\ 03:14:17,,,2019-03-26T03:14:24.0617240Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,4,Down,32468163,Docker
2019-03-26T03:15:02.145Z,0,QBOX-4000-0000-1000-000000000006,40614471,,26/03/2019\ 03:14:57,26/03/2019\ 03:14:51,,,2019-03-26T03:14:57.2122170Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,6,Down,35179056,QDisk
2019-03-26T03:15:42.145Z,0,QBOX-4000-0000-1000-000000000006,32468163,,26/03/2019\ 03:15:30,26/03/2019\ 03:15:26,,,2019-03-26T03:15:33.3761670Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,4,Down,32468163,Docker
2019-03-26T03:16:12.141Z,0,QBOX-4000-0000-1000-000000000006,40614471,,26/03/2019\ 03:16:06,26/03/2019\ 03:16:00,,,2019-03-26T03:16:06.5231320Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,6,Down,35179056,QDisk
2019-03-26T03:16:22.642Z,64881490,QBOX-4000-0000-1000-000000000005,3834345331,,26/03/2019\ 03:16:18,26/03/2019\ 03:12:01,,,2019-03-26T03:16:18.0736730Z,00000000-0000-0000-0000-000000000000,424f4a51-0326-0411-e8eb-b622507c52db,Completed,257,Down,22820769,QDisk
2019-03-26T03:16:22.643Z,0,QBOX-4000-0000-1000-000000000005,1466940583,,26/03/2019\ 03:12:08,26/03/2019\ 03:12:01,,,2019-03-26T03:16:18.0737030Z,00000000-0000-0000-0000-000000000000,424f4a51-0326-0411-e8eb-b622507c52db,Completed,7,Down,1466940583,Docker
2019-03-26T03:16:42.138Z,0,QBOX-4000-0000-1000-000000000006,32468163,,26/03/2019\ 03:16:36,26/03/2019\ 03:16:34,,,2019-03-26T03:16:39.6713540Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,2,Down,32468163,Docker
2019-03-26T03:17:22.139Z,0,QBOX-4000-0000-1000-000000000006,32468163,,26/03/2019\ 03:17:12,26/03/2019\ 03:17:09,,,2019-03-26T03:17:15.8243780Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,3,Down,32468163,Docker
2019-03-26T03:17:52.138Z,0,QBOX-4000-0000-1000-000000000006,32468163,,26/03/2019\ 03:17:45,26/03/2019\ 03:17:43,,,2019-03-26T03:17:48.9661700Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,2,Down,32468163,Docker
2019-03-26T03:18:32.145Z,0,QBOX-4000-0000-1000-000000000006,40614471,,26/03/2019\ 03:18:25,26/03/2019\ 03:18:18,,,2019-03-26T03:18:25.1250650Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,7,Down,35179056,QDisk
2019-03-26T03:19:02.149Z,0,QBOX-4000-0000-1000-000000000006,32468163,,26/03/2019\ 03:18:55,26/03/2019\ 03:18:52,,,2019-03-26T03:18:58.2749020Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,3,Down,32468163,Docker
2019-03-26T03:19:42.141Z,0,QBOX-4000-0000-1000-000000000006,40614471,,26/03/2019\ 03:19:34,26/03/2019\ 03:19:27,,,2019-03-26T03:19:34.4349320Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,7,Down,35179056,QDisk
2019-03-26T03:20:12.146Z,0,QBOX-4000-0000-1000-000000000006,40614471,,26/03/2019\ 03:20:07,26/03/2019\ 03:20:01,,,2019-03-26T03:20:07.5995140Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,6,Down,35179056,QDisk
2019-03-26T03:20:42.145Z,0,QBOX-4000-0000-1000-000000000006,40614471,,26/03/2019\ 03:20:40,26/03/2019\ 03:20:36,,,2019-03-26T03:20:40.7320380Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,4,Down,35179056,QDisk
2019-03-26T03:21:22.143Z,0,QBOX-4000-0000-1000-000000000006,32468163,,26/03/2019\ 03:21:13,26/03/2019\ 03:21:10,,,2019-03-26T03:21:16.8902590Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,3,Down,32468163,Docker
2019-03-26T03:21:52.147Z,0,QBOX-4000-0000-1000-000000000006,32468163,,26/03/2019\ 03:21:47,26/03/2019\ 03:21:44,,,2019-03-26T03:21:50.0489050Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,3,Down,32468163,Docker
2019-03-26T03:22:32.140Z,0,QBOX-4000-0000-1000-000000000006,40614471,,26/03/2019\ 03:22:26,26/03/2019\ 03:22:19,,,2019-03-26T03:22:26.2104230Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,7,Down,35179056,QDisk
2019-03-26T03:22:32.141Z,0,QBOX-4000-0000-1000-000000000006,32468163,,26/03/2019\ 03:22:23,26/03/2019\ 03:22:19,,,2019-03-26T03:22:26.2104540Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,4,Down,32468163,Docker
2019-03-26T03:23:02.141Z,0,QBOX-4000-0000-1000-000000000006,32468163,,26/03/2019\ 03:22:56,26/03/2019\ 03:22:53,,,2019-03-26T03:22:59.3676190Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,3,Down,32468163,Docker
2019-03-26T03:23:42.148Z,0,QBOX-4000-0000-1000-000000000006,40614471,,26/03/2019\ 03:23:32,26/03/2019\ 03:23:27,,,2019-03-26T03:23:32.5262170Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,5,Down,35179056,QDisk
2019-03-26T03:23:42.149Z,0,QBOX-4000-0000-1000-000000000006,32468163,,26/03/2019\ 03:23:32,26/03/2019\ 03:23:28,,,2019-03-26T03:23:32.5262640Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,4,Down,32468163,Docker
2019-03-26T03:24:12.141Z,0,QBOX-4000-0000-1000-000000000006,32468163,,26/03/2019\ 03:24:05,26/03/2019\ 03:24:02,,,2019-03-26T03:24:08.6849950Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,3,Down,32468163,Docker
2019-03-26T03:24:42.148Z,0,QBOX-4000-0000-1000-000000000006,40614471,,26/03/2019\ 03:24:41,26/03/2019\ 03:24:36,,,2019-03-26T03:24:41.8228850Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,5,Down,35179056,QDisk
2019-03-26T03:24:42.149Z,0,QBOX-4000-0000-1000-000000000006,32468163,,26/03/2019\ 03:24:38,26/03/2019\ 03:24:36,,,2019-03-26T03:24:41.8229280Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,2,Down,32468163,Docker
2019-03-26T03:25:22.144Z,0,QBOX-4000-0000-1000-000000000006,40614471,,26/03/2019\ 03:25:17,26/03/2019\ 03:25:11,,,2019-03-26T03:25:17.9822150Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,6,Down,35179056,QDisk
2019-03-26T03:25:52.145Z,0,QBOX-4000-0000-1000-000000000006,32468163,,26/03/2019\ 03:25:48,26/03/2019\ 03:25:45,,,2019-03-26T03:25:51.1355640Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,3,Down,32468163,Docker
2019-03-26T03:26:32.145Z,0,QBOX-4000-0000-1000-000000000006,40614471,,26/03/2019\ 03:26:27,26/03/2019\ 03:26:20,,,2019-03-26T03:26:27.2861420Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,7,Down,35179056,QDisk
2019-03-26T03:27:02.153Z,0,QBOX-4000-0000-1000-000000000006,40614471,,26/03/2019\ 03:27:00,26/03/2019\ 03:26:54,,,2019-03-26T03:27:00.4325720Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,6,Down,35179056,QDisk
2019-03-26T03:27:02.154Z,0,QBOX-4000-0000-1000-000000000006,32468163,,26/03/2019\ 03:26:57,26/03/2019\ 03:26:54,,,2019-03-26T03:27:00.4326040Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,3,Down,32468163,Docker
2019-03-26T03:27:42.149Z,0,QBOX-4000-0000-1000-000000000006,32468163,,26/03/2019\ 03:27:30,26/03/2019\ 03:27:28,,,2019-03-26T03:27:33.5789890Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,2,Down,32468163,Docker
2019-03-26T03:28:12.147Z,0,QBOX-4000-0000-1000-000000000006,40614471,,26/03/2019\ 03:28:09,26/03/2019\ 03:28:03,,,2019-03-26T03:28:09.7382850Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,6,Down,35179056,QDisk
2019-03-26T03:28:12.148Z,0,QBOX-4000-0000-1000-000000000006,32468163,,26/03/2019\ 03:28:06,26/03/2019\ 03:28:03,,,2019-03-26T03:28:09.7383280Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,3,Down,32468163,Docker
2019-03-26T03:28:52.143Z,0,QBOX-4000-0000-1000-000000000006,40614471,,26/03/2019\ 03:28:42,26/03/2019\ 03:28:37,,,2019-03-26T03:28:42.8789730Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,5,Down,35179056,QDisk
2019-03-26T03:28:52.144Z,0,QBOX-4000-0000-1000-000000000006,32468163,,26/03/2019\ 03:28:39,26/03/2019\ 03:28:37,,,2019-03-26T03:28:42.8790230Z,00000000-0000-0000-0000-000000000000,424f4a51-0320-1426-99e4-c21cd5135b5e,Completed,2,Down,32468163,Docker
