,actually_transferred_size,direction,id,node,profile,res,size,subtime,time_taken,type,job_id,workload_name,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata,ratio_minus_1
1291,414770.0,Up,1291,QBOX-2000-0000-0000-000000000001,1291_profile,1,306288.0,52049.0,6.0,S3,1291,ec5494,52049.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52049.000075,0.026591000000000004,52049.026666000005,7.5e-05,0.026666000000000002,1.002821,1687 1707,0.0,,224.64025422135308
1292,414770.0,Up,1292,QBOX-2000-0000-0000-000000000001,1292_profile,1,306288.0,52050.0,5.0,S3,1292,ec5494,52050.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52050.000045,0.026591000000000004,52050.026636,4.5e-05,0.026636,1.001693,1687 1707,0.0,,187.03354518446088
1293,414770.0,Up,1293,QBOX-2000-0000-0000-000000000004,1293_profile,1,306288.0,52050.0,9.0,S3,1293,ec5494,52050.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52050.000060000006,0.026591000000000004,52050.026651,5.9999999999999995e-05,0.026650999999999998,1.002257,1690 1707,0.0,,337.4603813320296
1294,414770.0,Up,1294,QBOX-2000-0000-0000-000000000004,1294_profile,1,306288.0,52054.0,5.0,S3,1294,ec5494,52054.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52054.000045,0.026591000000000004,52054.026636,4.5e-05,0.026636,1.001693,1690 1707,0.0,,187.03354518446088
1296,414770.0,Up,1296,QBOX-5000-0000-0000-000000000005,1296_profile,1,306288.0,52050.0,8.0,S3,1296,ec5494,52050.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52050.000075,0.026591000000000004,52050.026666000005,7.5e-05,0.026666000000000002,1.002821,1698 1707,0.0,,299.8536722951374
1297,414770.0,Up,1297,QBOX-5000-0000-0000-000000000005,1297_profile,1,306288.0,52058.0,3.0,S3,1297,ec5494,52058.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52058.000060000006,0.026591000000000004,52058.026651,5.9999999999999995e-05,0.026650999999999998,1.002257,1698 1707,0.0,,111.82012711067654
1298,414770.0,Up,1298,QBOX-5000-0000-0000-000000000005,1298_profile,1,306288.0,52060.0,4.0,S3,1298,ec5494,52060.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52060.000045,0.026591000000000004,52060.026636,4.5e-05,0.026636,1.001693,1698 1707,0.0,,149.4268361475687
1299,414770.0,Up,1299,QBOX-8000-0000-0000-000000000006,1299_profile,1,306288.0,52054.0,4.0,S3,1299,ec5494,52054.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52054.000060000006,0.016636,52054.016696,5.9999999999999995e-05,0.016696000000000003,1.003607,1705 1707,0.0,,239.44241404183694
1300,414770.0,Up,1300,QBOX-8000-0000-0000-000000000006,1300_profile,1,306288.0,52056.0,5.0,S3,1300,ec5494,52056.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52056.000045,0.016636,52056.016681,4.5e-05,0.016681,1.002705,1705 1707,0.0,,299.5530175522962
1301,414770.0,Up,1301,QBOX-4000-0000-1000-000000000002,1301_profile,1,306288.0,52014.0,49.0,S3,1301,ec5494,52014.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52014.000075,0.013318,52014.013393,7.5e-05,0.013393,1.005632,1692 1707,0.0,,3678.231115783151
1302,414770.0,Up,1302,QBOX-4000-0000-1000-000000000002,1302_profile,1,306288.0,52015.0,48.0,S3,1302,ec5494,52015.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52015.000045,0.013318,52015.013363,4.5e-05,0.013363,1.003379,1692 1707,0.0,,3603.1447664814536
1303,414770.0,Up,1303,QBOX-4000-0000-1000-000000000002,1303_profile,1,306288.0,52015.0,51.0,S3,1303,ec5494,52015.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52015.000060000006,0.013318,52015.013377999996,5.9999999999999995e-05,0.013378,1.004506,1692 1707,0.0,,3828.4038143865446
1304,414770.0,Up,1304,QBOX-4000-0000-1000-000000000002,1304_profile,1,306288.0,52016.0,53.0,S3,1304,ec5494,52016.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52016.000045,0.013318,52016.013363,4.5e-05,0.013363,1.003379,1692 1707,0.0,,3978.5765129899387
1305,414770.0,Up,1305,QBOX-4000-0000-1000-000000000002,1305_profile,1,306288.0,52020.0,49.0,S3,1305,ec5494,52020.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52020.000045,0.013318,52020.013363,4.5e-05,0.013363,1.003379,1692 1707,0.0,,3678.231115783151
1306,414770.0,Up,1306,QBOX-4000-0000-1000-000000000002,1306_profile,1,306288.0,52022.0,50.0,S3,1306,ec5494,52022.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52022.000045,0.013318,52022.013363,4.5e-05,0.013363,1.003379,1692 1707,0.0,,3753.3174650848478
1307,414770.0,Up,1307,QBOX-4000-0000-1000-000000000002,1307_profile,1,306288.0,52023.0,49.0,S3,1307,ec5494,52023.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52023.000045,0.013318,52023.013363,4.5e-05,0.013363,1.003379,1692 1707,0.0,,3678.231115783151
1308,414770.0,Up,1308,QBOX-2000-0000-0000-000000000001,1308_profile,1,306288.0,52059.0,5.0,S3,1308,ec5494,52059.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52059.000045,0.026591000000000004,52059.026636,4.5e-05,0.026636,1.001693,1687 1707,0.0,,187.03354518446088
1309,414770.0,Up,1309,QBOX-6000-0000-0000-000000000004,1309_profile,1,306288.0,52059.0,6.0,S3,1309,ec5494,52059.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52059.000060000006,0.043182,52059.043242,5.9999999999999995e-05,0.043242,1.00139,1700 1707,0.0,,137.9467833819647
1311,414770.0,Up,1311,QBOX-6000-0000-0000-000000000004,1311_profile,1,306288.0,52069.0,5.0,S3,1311,ec5494,52069.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52069.000060000006,0.043182,52069.043242,5.9999999999999995e-05,0.043242,1.00139,1700 1707,0.0,,114.78898615163726
1313,414770.0,Up,1313,QBOX-5000-0000-0000-000000000005,1313_profile,1,306288.0,52062.0,5.0,S3,1313,ec5494,52062.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52062.000045,0.026591000000000004,52062.026636,4.5e-05,0.026636,1.001693,1698 1707,0.0,,187.03354518446088
1314,414770.0,Up,1314,QBOX-5000-0000-0000-000000000005,1314_profile,1,306288.0,52066.0,4.0,S3,1314,ec5494,52066.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52066.000045,0.026591000000000004,52066.026636,4.5e-05,0.026636,1.001693,1698 1707,0.0,,149.4268361475687
1315,414770.0,Up,1315,QBOX-4000-0000-1000-000000000002,1315_profile,1,306288.0,52023.0,52.0,S3,1315,ec5494,52023.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52023.000060000006,0.013318,52023.013377999996,5.9999999999999995e-05,0.013378,1.004506,1692 1707,0.0,,3903.4901636882414
1316,414770.0,Up,1316,QBOX-4000-0000-1000-000000000002,1316_profile,1,306288.0,52024.0,51.0,S3,1316,ec5494,52024.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52024.000045,0.013318,52024.013363,4.5e-05,0.013363,1.003379,1692 1707,0.0,,3828.4038143865446
1317,414770.0,Up,1317,QBOX-4000-0000-1000-000000000002,1317_profile,1,306288.0,52027.0,51.0,S3,1317,ec5494,52027.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52027.000045,0.013318,52027.013363,4.5e-05,0.013363,1.003379,1692 1707,0.0,,3828.4038143865446
