time,qchunk_state.completion_date_string,qchunk_state.cpu_average_ghz,qchunk_state.cpu_model,qchunk_state.creation_date_string,qchunk_state.failed_range,qchunk_state.initial_range,qchunk_state.name,qchunk_state.name_1,qchunk_state.owner_qarnot_id,qchunk_state.priority,qchunk_state.processed_range,qchunk_state.q_mobo,qchunk_state.qguid,qchunk_state.resources_download_batches,qchunk_state.scaling_cpu_average_ghz,qchunk_state.scaling_time_compute_ghz,qchunk_state.serializer_session,qchunk_state.state,qchunk_state.state_1,qchunk_state.time_compute,qchunk_state.time_compute_ghz,qchunk_state.time_download,qchunk_state.time_environment,qchunk_state.time_upload
2019-05-06T06:45:00.000Z,06/05/2019\ 06:48:52,0,Intel(R)\ Core(TM)\ i7-4770K\ CPU\ @\ 3.50GHz,06/05/2019\ 06:08:58,,[175-176],docker.base.config>docker.base>docker-mining>money\ money\ money\ prod,docker.base.config>docker.base>docker-mining>money money money prod,_coin_miner,-15,,MOBO-0400-9ea3-c825-94de80a6a972,QJOB-0425-1504-9b73-148267a8fd96,"SCDL-ea5b-1657-29bc-607184fbb5e9\,SCDL-dab8-1718-6370-31d71b6298f6",0,85430.8828125,00000000-0000-0000-0000-000000000000,Preempted,Preempted,23260,81322.421875,10,670,0
2019-05-06T06:50:00.000Z,06/05/2019\ 06:54:07,0,AMD\ Ryzen\ 7\ 1700X\ Eight-Core\ Processor,06/05/2019\ 06:23:07,,[176-177],docker.base.config>docker.base>docker-mining>money\ money\ money\ prod,docker.base.config>docker.base>docker-mining>money money money prod,_coin_miner,-15,,MOBO-58d8-00d7-89a1-309c23a7860f,QJOB-0425-1504-9b73-148267a8fd96,"SCDL-2ea7-a22b-b784-c55f1c224326\,SCDL-6c2e-5589-bcb0-77df962429b6",0,60068.12109375,00000000-0000-0000-0000-000000000000,Preempted,Preempted,17680,60054.2421875,10,910,0
2019-05-06T06:55:00.000Z,06/05/2019\ 06:58:49,0,AMD\ Ryzen\ 7\ PRO\ 1700X\ Eight-Core\ Processor,05/05/2019\ 23:01:36,,[172-173],docker.base.config>docker.base>docker-mining>money\ money\ money\ prod,docker.base.config>docker.base>docker-mining>money money money prod,_coin_miner,-15,,MOBO-58d8-00d7-2a2e-309c237ec797,QJOB-0425-1504-9b73-148267a8fd96,"SCDL-943b-fb14-13ef-c93a4cc231f4\,SCDL-0568-0752-84db-31d6115bd8f9",0,983635.75,00000000-0000-0000-0000-000000000000,Preempted,Preempted,285550,970802.0625,10,770,0
2019-05-06T07:00:00.000Z,,0,,06/05/2019\ 07:04:11,,[41-42],docker.base.config>docker.base>docker-mining>money\ money\ money\ qualif,docker.base.config>docker.base>docker-mining>money money money qualif,_coin_miner,-15,,MOBO-58d8-00d7-895f-309c23845cf6,QJOB-0327-1429-cd5a-5439696fab1f,,0,0,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T07:05:00.000Z,06/05/2019\ 07:08:54,0,Intel(R)\ Core(TM)\ i7-4770K\ CPU\ @\ 3.50GHz,05/05/2019\ 21:25:37,,[91-92],docker.base.config>docker.base>docker-mining>money\ money\ money\ prod,docker.base.config>docker.base>docker-mining>money money money prod,_coin_miner,-15,,MOBO-0400-9fa3-036e-94de80a6671e,QJOB-0425-1504-9b73-148267a8fd96,"SCDL-ea5b-1657-29bc-607184fbb5e9\,SCDL-dab8-1718-6370-31d71b6298f6",0,1290084.5,00000000-0000-0000-0000-000000000000,Preempted,Preempted,349430,1223277.875,10,530,0
2019-05-06T07:10:00.000Z,,0,,06/05/2019\ 07:12:37,,[91-92],docker.base.config>docker.base>docker-mining>money\ money\ money\ prod,docker.base.config>docker.base>docker-mining>money money money prod,_coin_miner,-15,,MOBO-58d8-00d7-89a1-309c23a7860f,QJOB-0425-1504-9b73-148267a8fd96,,0,0,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T07:15:00.000Z,,0,,06/05/2019\ 07:19:05,,[129-130],docker.base.config>docker.base>docker-mining>money\ money\ money\ prod,docker.base.config>docker.base>docker-mining>money money money prod,_coin_miner,-15,,MOBO-0400-9ea3-cbf5-94de80a6ad19,QJOB-0425-1504-9b73-148267a8fd96,,0,0,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T07:20:00.000Z,06/05/2019\ 07:21:16,0,AMD\ Ryzen\ 7\ 2700X\ Eight-Core\ Processor,06/05/2019\ 07:13:31,,[0-1],docker.base.config>docker.base>docker-network-ssh>amplisim>calmet_www.amplisim.com_34_303,docker.base.config>docker.base>docker-network-ssh>amplisim>calmet_www.amplisim.com_34_303,<Unknown>,1,[0-1],MOBO-adf0-094e-09e2-00d8611556aa,QJOB-0506-0913-75e3-ca1ae5b521c9,"SCDL-f77a-20e1-e81f-d2837151073b\,SCDL-f5b3-6549-2650-6f548a5ec1dd\,SCDL-dd1d-9d36-9c33-9f23b4eb57b8",0,8325.9599609375,00000000-0000-0000-0000-000000000000,Completed,Completed,2210,8063.73583984375,1240,710,480
2019-05-06T07:25:00.000Z,,0,,06/05/2019\ 07:25:59,,[168-169],docker.base.config>docker.base>docker-mining>money\ money\ money\ prod,docker.base.config>docker.base>docker-mining>money money money prod,_coin_miner,-15,,MOBO-0400-9ea3-b45c-94de80a6a950,QJOB-0425-1504-9b73-148267a8fd96,,0,0,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T07:30:00.000Z,,0,,06/05/2019\ 07:30:37,,[17-18],docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,<Unknown>,10,,MOBO-58d8-00d7-87af-309c23a78199,QJOB-0506-0723-49ee-1afad9489754,,0,0,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
