time,qchunk_state.completion_date_string,qchunk_state.computed_range,qchunk_state.cpu_average_ghz,qchunk_state.cpu_model,qchunk_state.creation_date_string,qchunk_state.failed_range,qchunk_state.initial_range,qchunk_state.name,qchunk_state.name_1,qchunk_state.owner_qarnot_id,qchunk_state.priority,qchunk_state.processed_range,qchunk_state.q_mobo,qchunk_state.qguid,qchunk_state.resources_download_batches,qchunk_state.scaling_cpu_average_ghz,qchunk_state.scaling_time_compute_ghz,qchunk_state.serializer_q_mobo,qchunk_state.serializer_sampling_time,qchunk_state.serializer_session,qchunk_state.state,qchunk_state.state_1,qchunk_state.time_compute,qchunk_state.time_compute_ghz,qchunk_state.time_download,qchunk_state.time_environment,qchunk_state.time_upload
2019-05-06T06:43:53.779Z,,,0,,06/05/2019\ 06:43:44,,[179-180],docker.base.config>docker.base>docker-mining>money\ money\ money\ prod,docker.base.config>docker.base>docker-mining>money money money prod,_coin_miner,-15,,MOBO-0400-9ea3-a26f-902b34dcf0a8,QJOB-0425-1504-9b73-148267a8fd96,,0,0,4f424f4d-0400-9ea3-a26f-902b34dcf0a8,2019-05-06T06:43:44.7487550Z,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T06:48:53.774Z,06/05/2019\ 06:48:52,,0,Intel(R)\ Core(TM)\ i7-4770K\ CPU\ @\ 3.50GHz,06/05/2019\ 06:08:58,,[175-176],docker.base.config>docker.base>docker-mining>money\ money\ money\ prod,docker.base.config>docker.base>docker-mining>money money money prod,_coin_miner,-15,,MOBO-0400-9ea3-c825-94de80a6a972,QJOB-0425-1504-9b73-148267a8fd96,"SCDL-ea5b-1657-29bc-607184fbb5e9\,SCDL-dab8-1718-6370-31d71b6298f6",0,85430.8828125,4f424f4d-0400-9ea3-c825-94de80a6a972,2019-05-06T06:48:52.0022860Z,00000000-0000-0000-0000-000000000000,Preempted,Preempted,23260,81322.421875,10,670,0
2019-05-06T06:54:11.190Z,06/05/2019\ 06:54:07,,0,AMD\ Ryzen\ 7\ 1700X\ Eight-Core\ Processor,06/05/2019\ 06:23:07,,[176-177],docker.base.config>docker.base>docker-mining>money\ money\ money\ prod,docker.base.config>docker.base>docker-mining>money money money prod,_coin_miner,-15,,MOBO-58d8-00d7-89a1-309c23a7860f,QJOB-0425-1504-9b73-148267a8fd96,"SCDL-2ea7-a22b-b784-c55f1c224326\,SCDL-6c2e-5589-bcb0-77df962429b6",0,60068.12109375,4f424f4d-58d8-00d7-89a1-309c23a7860f,2019-05-06T06:54:07.6812750Z,00000000-0000-0000-0000-000000000000,Preempted,Preempted,17680,60054.2421875,10,910,0
2019-05-06T06:58:54.270Z,06/05/2019\ 06:58:49,,0,AMD\ Ryzen\ 7\ 1700X\ Eight-Core\ Processor,05/05/2019\ 23:01:36,,[168-169],docker.base.config>docker.base>docker-mining>money\ money\ money\ prod,docker.base.config>docker.base>docker-mining>money money money prod,_coin_miner,-15,,MOBO-58d8-00d7-2a2e-309c23845bb0,QJOB-0425-1504-9b73-148267a8fd96,"SCDL-943b-fb14-13ef-c93a4cc231f4\,SCDL-0568-0752-84db-31d6115bd8f9",0,916320.8125,4f424f4d-58d8-00d7-2a2e-309c23845bb0,2019-05-06T06:58:49.4258500Z,00000000-0000-0000-0000-000000000000,Preempted,Preempted,285550,970797.25,10,760,0
2019-05-06T06:58:54.271Z,06/05/2019\ 06:58:49,,0,AMD\ Ryzen\ 7\ PRO\ 1700X\ Eight-Core\ Processor,05/05/2019\ 23:01:36,,[172-173],docker.base.config>docker.base>docker-mining>money\ money\ money\ prod,docker.base.config>docker.base>docker-mining>money money money prod,_coin_miner,-15,,MOBO-58d8-00d7-2a2e-309c237ec797,QJOB-0425-1504-9b73-148267a8fd96,"SCDL-943b-fb14-13ef-c93a4cc231f4\,SCDL-0568-0752-84db-31d6115bd8f9",0,983635.75,4f424f4d-58d8-00d7-2a2e-309c237ec797,2019-05-06T06:58:49.5800040Z,00000000-0000-0000-0000-000000000000,Preempted,Preempted,285550,970802.0625,10,770,0
2019-05-06T07:00:27.120Z,06/05/2019\ 07:00:22,,0,Intel(R)\ Core(TM)\ i7-4770K\ CPU\ @\ 3.50GHz,06/05/2019\ 05:48:32,,[129-130],docker.base.config>docker.base>docker-mining>money\ money\ money\ prod,docker.base.config>docker.base>docker-mining>money money money prod,_coin_miner,-15,,MOBO-0400-9fa3-0394-94de80a6aa65,QJOB-0425-1504-9b73-148267a8fd96,"SCDL-4f69-4856-5f39-6b3636ceffd8\,SCDL-f19f-e707-35a5-4ce59dc75f3b",0,156973.828125,4f424f4d-0400-9fa3-0394-94de80a6aa65,2019-05-06T07:00:22.1133630Z,00000000-0000-0000-0000-000000000000,Preempted,Preempted,42520,148814.90625,10,570,0
2019-05-06T07:04:16.088Z,,,0,,06/05/2019\ 07:04:11,,[41-42],docker.base.config>docker.base>docker-mining>money\ money\ money\ qualif,docker.base.config>docker.base>docker-mining>money money money qualif,_coin_miner,-15,,MOBO-58d8-00d7-895f-309c23845cf6,QJOB-0327-1429-cd5a-5439696fab1f,,0,0,4f424f4d-58d8-00d7-895f-309c23845cf6,2019-05-06T07:04:11.1042320Z,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T07:08:09.187Z,06/05/2019\ 07:08:05,,0,AMD\ Ryzen\ 7\ 1700X\ Eight-Core\ Processor,06/05/2019\ 06:33:30,,[36-37],docker.base.config>docker.base>docker-mining>money\ money\ money\ qualif,docker.base.config>docker.base>docker-mining>money money money qualif,_coin_miner,-15,,MOBO-58d8-00d7-8a07-309c23a7814a,QJOB-0327-1429-cd5a-5439696fab1f,"SCDL-deb3-05bf-d5df-c3b5f0f61fa3\,SCDL-5faf-b153-f631-6e5bde741173",0,56052.16015625,4f424f4d-58d8-00d7-8a07-309c23a7814a,2019-05-06T07:08:05.9703560Z,00000000-0000-0000-0000-000000000000,Preempted,Preempted,20020,68029.921875,10,730,0
2019-05-06T07:08:09.188Z,06/05/2019\ 07:08:06,,0,AMD\ Ryzen\ 7\ 1700X\ Eight-Core\ Processor,06/05/2019\ 06:33:30,,[37-38],docker.base.config>docker.base>docker-mining>money\ money\ money\ qualif,docker.base.config>docker.base>docker-mining>money money money qualif,_coin_miner,-15,,MOBO-58d8-00d7-8a07-309c23845a98,QJOB-0327-1429-cd5a-5439696fab1f,"SCDL-deb3-05bf-d5df-c3b5f0f61fa3\,SCDL-5faf-b153-f631-6e5bde741173",0,69924.5546875,4f424f4d-58d8-00d7-8a07-309c23845a98,2019-05-06T07:08:06.0327710Z,00000000-0000-0000-0000-000000000000,Preempted,Preempted,20050,68100.46875,10,700,0
2019-05-06T07:08:09.189Z,06/05/2019\ 07:08:06,,0,AMD\ Ryzen\ 7\ 1700X\ Eight-Core\ Processor,06/05/2019\ 06:33:30,,[34-35],docker.base.config>docker.base>docker-mining>money\ money\ money\ qualif,docker.base.config>docker.base>docker-mining>money money money qualif,_coin_miner,-15,,MOBO-58d8-00d7-8a07-309c23a78196,QJOB-0327-1429-cd5a-5439696fab1f,"SCDL-deb3-05bf-d5df-c3b5f0f61fa3\,SCDL-5faf-b153-f631-6e5bde741173",0,69149.375,4f424f4d-58d8-00d7-8a07-309c23a78196,2019-05-06T07:08:06.1228970Z,00000000-0000-0000-0000-000000000000,Preempted,Preempted,20020,68029.421875,10,740,0
2019-05-06T07:09:03.781Z,06/05/2019\ 07:08:54,,0,Intel(R)\ Core(TM)\ i7-4770K\ CPU\ @\ 3.50GHz,05/05/2019\ 21:25:37,,[91-92],docker.base.config>docker.base>docker-mining>money\ money\ money\ prod,docker.base.config>docker.base>docker-mining>money money money prod,_coin_miner,-15,,MOBO-0400-9fa3-036e-94de80a6671e,QJOB-0425-1504-9b73-148267a8fd96,"SCDL-ea5b-1657-29bc-607184fbb5e9\,SCDL-dab8-1718-6370-31d71b6298f6",0,1290084.5,4f424f4d-0400-9fa3-036e-94de80a6671e,2019-05-06T07:08:54.3828460Z,00000000-0000-0000-0000-000000000000,Preempted,Preempted,349430,1223277.875,10,530,0
2019-05-06T07:12:41.213Z,,,0,,06/05/2019\ 07:12:37,,[91-92],docker.base.config>docker.base>docker-mining>money\ money\ money\ prod,docker.base.config>docker.base>docker-mining>money money money prod,_coin_miner,-15,,MOBO-58d8-00d7-89a1-309c23a7860f,QJOB-0425-1504-9b73-148267a8fd96,,0,0,4f424f4d-58d8-00d7-89a1-309c23a7860f,2019-05-06T07:12:37.5005410Z,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T07:13:40.486Z,,,0,,06/05/2019\ 07:13:31,,[0-1],docker.base.config>docker.base>docker-network-ssh>amplisim>calmet_www.amplisim.com_34_303,docker.base.config>docker.base>docker-network-ssh>amplisim>calmet_www.amplisim.com_34_303,<Unknown>,1,,MOBO-adf0-094e-09e2-00d8611556aa,QJOB-0506-0913-75e3-ca1ae5b521c9,,0,0,4f424f4d-adf0-094e-09e2-00d8611556aa,2019-05-06T07:13:31.5409460Z,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T07:13:57.272Z,06/05/2019\ 07:13:52,,0,Intel(R)\ Core(TM)\ i7-4770K\ CPU\ @\ 3.50GHz,06/05/2019\ 06:04:48,,[137-138],docker.base.config>docker.base>docker-mining>money\ money\ money\ prod,docker.base.config>docker.base>docker-mining>money money money prod,_coin_miner,-15,,MOBO-0400-9ea3-cbe1-94de80a700c7,QJOB-0425-1504-9b73-148267a8fd96,"SCDL-4f69-4856-5f39-6b3636ceffd8\,SCDL-f19f-e707-35a5-4ce59dc75f3b",0,150827.171875,4f424f4d-0400-9ea3-cbe1-94de80a700c7,2019-05-06T07:13:52.8633470Z,00000000-0000-0000-0000-000000000000,Preempted,Preempted,40890,142996.265625,10,550,0
